Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
auth,,,,2021-01-28 22:13:14,2021-01-28 22:13:20,6.164s,PASSED
,,,,,,,
Test Cases/ApiTestingZO,,,,2021-01-28 22:13:16,2021-01-28 22:13:20,4.663s,PASSED
"response1 = sendRequest(findTestObject(""login"", [""url"":base_url]))",,,,2021-01-28 22:13:16,2021-01-28 22:13:20,3.696s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2021-01-28 22:13:20,2021-01-28 22:13:20,0.053s,PASSED
result = slurper.parseText(response1.getResponseBodyContent()),,,,2021-01-28 22:13:20,2021-01-28 22:13:20,0.051s,PASSED
access_token = access_token,,,,2021-01-28 22:13:20,2021-01-28 22:13:20,0.014s,PASSED
"println(""access token from get endpoint me .."" + access_token)",,,,2021-01-28 22:13:20,2021-01-28 22:13:20,0.009s,PASSED
